Age,Gender,How many  do you study per day?,How often do you delay starting your study tasks?,Do you complete assignments before the deadline?,How many  do you spend on your phone daily?,Time spent on social media per day?,What distracts you the most while studying?,How many breaks do you take during study?,Do you follow the study schedule?,How many  do you sleep daily?,Stress level during studies,How motivated do you feel to study?,When do you usually start working on assignments?,Do you procrastinate?
21,Male,4,Often,Sometimes,3,3-5 hours breaks hours,YouTube/OTT,None,Yes,6,3,3,Near deadline,Yes
21,Male,1,Sometimes,Always,5,3-5 hours breaks hours,Social media,3-5 breaks,No,5,4,4,Immediately after given,Yes
21,Female,1,Sometimes,Always,3,3-5 hours breaks hours,"Social media, YouTube/OTT",1-2 breaks,Yes,9,4,2,Immediately after given,Yes
20,Female,1.3,Often,Sometimes,4,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting",More than 5,No,6,4,3,Few days later,Yes
15,Female,1,Always,Always,2,1-2 hours breaks hours,YouTube/OTT,None,No,10,1,5,Near deadline,Yes
18,Female,4,Sometimes,Always,3,3-5 hours breaks hours,Friends/Chatting,None,No,8,3,3,Immediately after given,Yes
22,Male,3,Often,Rarely,6,3-5 hours breaks hours,"Social media, YouTube/OTT",1-2 breaks,No,6,3,3,Near deadline,Yes
15,Female,2,Sometimes,Sometimes,3,Less than 1 ,Gaming,3-5 breaks,No,8,5,3,Few days later,Yes
16,Male,1,Always,Never,15,More than 5 ,"Social media, Gaming",More than 5,No,5,4,1,Last minute,Yes
20,Female,5,Sometimes,Always,5,3-5 hours breaks hours,Social media,None,Yes,8,3,5,Immediately after given,Yes
19,Female,2,Sometimes,Sometimes,3,1-2hours breaks hours,Social media,1-2 breaks,No,8,2,2,Immediately after given,Yes
20,Female,2,Often,Never,5,3-5 hours breaks hours,Social media,More than 5,No,8,5,3,Near deadline,Yes
19,Female,3,Always,Always,4,More than 5 ,"Social media, YouTube/OTT",3-5 breaks,No,5,3,3,Few days later,Yes
16,Female,2,Often,Always,9,3-5 hours breaks hours,YouTube/OTT,More than 5,No,8,2,3,Few days later,Yes
20,Female,2,Sometimes,Always,3,3-5 hours breaks hours,Social media,1-2 breaks,Yes,8,4,4,Immediately after given,No
19,Female,3,Never,Never,2,3-5 hours breaks hours,YouTube/OTT,None,Yes,6,3,3,Immediately after given,No
20,Female,2,Sometimes,Always,6,More than 5 ,"Social media, Friends/Chatting",1-2 breaks,Yes,8,3,3,Near deadline,Yes
20,Female,2,Sometimes,Always,3,3-5 hours breaks hours,Social media,3-5 breaks,No,5,3,4,Immediately after given,Yes
21,Female,5,Often,Always,4,1-2 hours breaks hours,"Social media, Friends/Chatting",3-5 breaks,No,7,4,4,Near deadline,Yes
20,Male,6,Sometimes,Always,6,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting, Gaming",3-5 breaks,No,6,3,3,Immediately after given,No
20,Female,0,Always,Always,9,More than 5 ,"Social media, Friends/Chatting",More than 5,No,14,1,1,Near deadline,Yes
20,Male,3,Sometimes,Always,3,3-5 hours breaks hours,"Social media, Gaming",1-2 breaks,No,8,3,3,Immediately after given,No
19,Female,1,Often,Always,8,3-5 hours breaks hours,Social media,3-5 breaks,No,7,3,3,Immediately after given,Yes
17,Male,1,Always,Sometimes,6,3-5 hours breaks hours,"Social media, Gaming",More than 5,No,10,3,3,Near deadline,Yes
19,Male,4,Sometimes,Never,6,Less than 1 ,Gaming,1-2 breaks,No,5,3,2,Near deadline,Yes
18,Female,2,Always,Always,4,3-5 hours breaks hours,Social media,1-2 breaks,Yes,8,2,2,Last minute,Yes
21,Female,1,Always,Sometimes,8,3-5 hours breaks hours,Social media,3-5 breaks,Yes,8,5,3,Near deadline,Yes
19,Male,6,Always,Always,5,1-2 hours breaks hours,Social media,1-2 breaks,Yes,6,3,4,Near deadline,Yes
20,Female,1,Often,Always,2,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting",3-5 breaks,No,9,5,2,Few days later,Yes
20,Female,5,Sometimes,Always,7,More than 5 ,"Social media, YouTube/OTT",More than 5,No,7,1,3,Near deadline,Yes
20,Male,1,Sometimes,Rarely,2,Less than 1 ,Friends/Chatting,3-5 breaks,No,7,2,3,Few days later,Yes
20,Male,2,Often,Always,4,1-2 hours breaks hours,"YouTube/OTT, Friends/Chatting",1-2 breaks,No,6,3,3,Near deadline,Yes
21,Male,0,Often,Sometimes,8,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting",3-5 breaks,No,10,2,1,Near deadline,Yes
17,Male,1,Often,Always,1,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting, Gaming",1-2 breaks,No,4,2,2,Near deadline,Yes
21,Male,4,Sometimes,Always,6,Less than 1 ,Friends/Chatting,1-2 breaks,No,8,1,4,Few days later,No
20,Female,3,Sometimes,Always,2,3-5 hours breaks hours,Social media,3-5 breaks,No,7,5,3,Immediately after given,No
19,Female,6,Never,Sometimes,12,More than 5 ,Social media,3-5 breaks,No,5,4,3,Few days later,Yes
18,Female,8,Always,Always,2,Less than 1 ,Friends/Chatting,More than 5,Yes,5,3,4,Immediately after given,Yes
15,Female,2,Always,Never,1,Less than 1 ,Gaming,More than 5,Yes,9,3,1,Few days later,Yes
18,Female,9,Never,Always,5,3-5 hours breaks hours,"Social media, YouTube/OTT",3-5 breaks,Yes,8,1,1,Immediately after given,No
21,Male,10,Sometimes,Always,4,3-5 hours breaks hours,"Social media, Friends/Chatting, Gaming",3-5 breaks,Yes,6,4,4,Few days later,Yes
22,Male,0,Always,Sometimes,6,More than 5 ,Social media,More than 5,No,6,5,2,Near deadline,Yes
20,Male,2,Sometimes,Sometimes,5,3-5 hours breaks hours,"Social media, Friends/Chatting",1-2 breaks,Yes,8,3,4,Few days later,Yes
18,Male,4,Sometimes,Always,6,3-5 hours breaks hours,"Social media, Friends/Chatting, Gaming",More than 5,No,7,3,5,Few days later,Yes
20,Male,5,Never,Always,1,Less than 1 ,"Social media, YouTube/OTT, Friends/Chatting, Gaming",None,Yes,5,5,5,Immediately after given,Yes
20,Female,1,Sometimes,Always,5,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting",More than 5,No,7,2,2,Near deadline,Yes
18,Female,2,Always,Never,24,3-5 hours breaks hours,YouTube/OTT,None,No,6,1,3,Last minute,Yes
17,Male,2,Sometimes,Sometimes,0,Less than 1 ,Playing mood ,1-2 breaks,Yes,7,3,4,Immediately after given,Yes
18,Female,2,Sometimes,Never,12,Less than 1 ,YouTube/OTT,None,No,7,1,2,Few days later,Yes
17,Male,2,Sometimes,Sometimes,0,Less than 1 ,Playing mood ,1-2 breaks,Yes,7,3,4,Immediately after given,Yes
18,Female,8,Never,Always,5,3-5 hours breaks hours,Social media,3-5 breaks,Yes,8,1,3,Immediately after given,No
18,Female,2,Never,Never,4,Less than 1 ,"YouTube/OTT, Friends/Chatting, Gaming",More than 5,Yes,9,1,1,Immediately after given,Yes
15,Female,8,Sometimes,Rarely,2,Less than 1 ,YouTube/OTT,1-2 breaks,Yes,7,3,4,Immediately after given,Yes
20,Male,0,Often,Rarely,12,More than 5 ,"Social media, YouTube/OTT",3-5 breaks,Yes,9,3,4,Near deadline,No
15,Female,3,Sometimes,Sometimes,5,3-5 hours breaks hours,Friends/Chatting,1-2 breaks,Yes,10,3,5,Last minute,Yes
15,Female,2,Never,Sometimes,24,3-5 hours breaks hours,Friends/Chatting,1-2 breaks,No,6,4,5,Last minute,Yes
19,Male,4,Sometimes,Sometimes,7,3-5 hours breaks hours,"Social media, Friends/Chatting, Gaming",More than 5,No,6,2,3,Near deadline,Yes
16,Female,3,Sometimes,Rarely,2,3-5 hours breaks hours,Social media,1-2 breaks,Yes,8,3,4,Immediately after given,No
20,Female,5,Often,Always,6,More than 5 ,Social media,More than 5,No,9,4,2,Last minute,Yes
18,Female,1,Often,Sometimes,3,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting",1-2 breaks,No,8,3,3,Few days later,No
29,Female,1,Never,Sometimes,1,Less than 1 ,Friends/Chatting,1-2 breaks,Yes,8,3,4,Few days later,Yes
21,Male,2,Sometimes,Always,5,3-5 hours breaks hours,YouTube/OTT,1-2 breaks,Yes,8,3,3,Few days later,Yes
17,Female,3,Often,Sometimes,2,3-5 hours breaks hours,Social media,3-5 breaks,No,8,3,1,Few days later,Yes
18,Female,3,Sometimes,Always,7,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting, Gaming",None,Yes,6,3,4,Immediately after given,No
21,Male,1,Sometimes,Sometimes,15,More than 5 ,Social media,1-2 breaks,No,8,5,3,Few days later,Yes
18,Female,4,Sometimes,Always,11,More than 5 ,Social media,3-5 breaks,Yes,6,4,4,Few days later,Yes
25,Male,3,Often,Sometimes,4,3-5 hours breaks hours,Social media,1-2 breaks,Yes,8,3,4,Few days later,Yes
18,Female,4,Sometimes,Always,4,1-2 hours breaks hours,Social media,1-2 breaks,Yes,6,4,3,Immediately after given,Yes
20,Female,5,Sometimes,Always,3,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting, Gaming",1-2 breaks,Yes,8,4,5,Few days later,No
20,Female,5,Sometimes,Always,2,More than 5 ,Social media,1-2 breaks,No,8,3,4,Immediately after given,No
22,Male,0,Sometimes,Always,3,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting, Gaming",1-2 breaks,No,4,3,4,Few days later,Yes
21,Female,1,Often,Sometimes,8,More than 5 ,Instagram reel,3-5 breaks,Yes,8,3,3,Near deadline,Yes
16,Male,3,Often,Sometimes,2,3-5 hours breaks hours,Social media,1-2 breaks,Yes,7,5,5,Immediately after given,No
20,Female,1,Often,Sometimes,4,3-5 hours breaks hours,"Social media, YouTube/OTT, Friends/Chatting",1-2 breaks,Yes,6,3,3,Few days later,Yes
14,Female,4,Never,Never,1,Less than 1 ,"Gaming, ",None,Yes,7,2,5,Immediately after given,Yes
15,Female,1,Sometimes,Always,3,3-5 hours breaks hours,YouTube/OTT,1-2 breaks,No,7,2,4,Few days later,Yes
18,Male,7,Sometimes,Sometimes,5,3-5 hours breaks hours,Gaming,1-2 breaks,No,8,3,5,Few days later,Yes
18,Female,1,Often,Always,5,3-5 hours breaks hours,Friends/Chatting,3-5 breaks,No,8,3,5,Few days later,No
30,Female,1,Sometimes,Sometimes,1,Less than 1 ,YouTube/OTT,1-2 breaks,Yes,7,4,3,Immediately after given,No
21,Male,2,Never,Always,4,Less than 1 ,"Social media, YouTube/OTT, Friends/Chatting",None,No,7,3,3,Near deadline,Yes
20,Female,0,Always,Never,4,3-5 hours breaks hours,Social media,More than 5,No,7,5,1,Last minute,Yes
19,Female,2,Sometimes,Always,1,Less than 1 ,"Social media, Friends/Chatting",3-5 breaks,No,6,3,5,Few days later,No
15,Female,14,Always,Always,2,Less than 1 ,YouTube/OTT,1-2 breaks,Yes,7,1,5,Immediately after given,Yes
